,text,root,event,label
4297,"Just to confirm , that train leaves from London Kings Cross . Is that your intended departure station ?",,,0
4298,"Sorry , no , I need to depart from Broxbourne .",,,0
4299,"Okay , it looks like the TR1971 would depart Broxbourne at 7:32 and arrive in Cambridge at 08:32 . Would that work for you ?",looks,looks Broxbourne it depart 7:32 08:32 arrive at at TR1971,1
4300,"Perfect , thanks . I am all set now .",,,0
4301,You are welcome . Good bye !,,,0
4302,I 'm looking for an expensive restaurant in the west .,,,0
4303,I have about 9 different options for you . What type of food would you like to dine on ?,,,0
4304,I would prefer Caribbean food,,,0
4305,"I 'm so sorry , but we do n't have any Caribbean restaurants in that area . Would you like a different type of food ? Or I could check a different area .",,,0
4306,Do you show any Indian restaurants in that area ?,,,0
4307,Yes I have 5 in that area . I would like to suggest cocum . Would you like to make reservations ?,,,0
4308,"That sounds great . There will be 6 of us on Sunday for dinner . Say , 19:15 ?",be,Sunday be on,1
4309,Great ! Your table at cocum is booked . Your reference number is 1CQ2UX5F . Do you need help with anything else ?,,,0
4310,"Yes , I 'd also like to visit a museum .",,,0
4311,There are 23 museums in Cambridge . Would you like to visit a museum near your restaurant in the west ?,,,0
4312,You can just choose the one you like best please and then tell me its postcode and area,,,0
4313,Cafe jello gallery is in the west area . The post code is cb30af . Is there anything else I can help you with ?,,,0
4314,No that will be all thank you,,,0
4315,"You are most welcome , enjoy your visit !",,,0
4316,"Hi , can you point me to an expensive restaurant that serves Italian food ? I will be in the area soon .",,,0
4317,"I have 4 in the centre of town and one in the south , any preference ?",,,0
4318,"Yes , I would like to book a reservation in the south for 2 people on friday afternoon .",like,I reservation afternoon like friday book on,1
4319,"Could you give me a more specific time for the "" afternoon "" ? Reservations can be placed starting on the hour and every 15 minutes after .",placed,starting 15 hour placed the after every on minutes,1
4320,Yes . I actually need a restaurant in the centre for three people on Wednesday at 18:15 .,need,I at Wednesday need on 18:15 restaurant,1
4321,I can not get a table reserved for you at that time . Perhaps another day or time slot maybe ?,,,0
4322,Can you try 17:15 ?,,,0
4323,I was able to book stazione restaurant and coffee bar the reference number is 95K25VSO,,,0
4324,Thank you . Can you book me a train arriving the same day as I am going to the restaurant ?,book,train same you the arriving day book,1
4325,I would be happy to help if I have some more information . What are the departure and destination locations ?,,,0
4326,I 'm coming to Cambridge from London Liverpool Street .,,,0
4327,When would you like to leave or arrive by ?,,,0
4328,I would like to arrive by 10:00 and I would like to book it for the same quantity of people as in the restaurant . I also would like the reference number .,,,0
4329,"Ok , I have booked 2 tickets on TR5936 leaving Liverpool St at 07:39 and arriving in Cambridge at 09:07 . Reference number 68JD5L35 . It will be 33.20GBP at the station .",booked,leaving tickets at at arriving booked on 07:39 09:07 I 2 St,1
4330,Thank you ! Goobye .,,,0
4331,You 're welcome . Have a nice day .,Have,day a Have nice,1
4332,"Hello , I need information for the nearest police station please .",,,0
4333,"The telephone is 01223358966 and the address is Parkside , Cambridge . Is there anything else I can help you with ?",is,telephone is 01223358966,1
4334,Can I have the postcode please ?,,,0
4335,The postcode is CB11JG . Can I help you with anything else ?,,,0
4336,"No , thank you for your help .",,,0
4337,You are welcome . Please let us know if there 's anything else we can assist you with in the future .,,,0
4338,I am looking for a place to stay with 4 stars .,,,0
4339,"Certainly , is there an area of town you prefer ?",,,0
4340,"No , but it should have free wifi , 4 stars , and free parking .",,,0
4341,There are quite a few options that match your needs -would you prefer cheap or moderately priced ?,,,0
4342,"No . You can pick the hotel . I will need it for 3 people lasting 2 nights , from Friday .",need,for lasting I people it nights Friday need 2 3 from,1
4343,"I have booked you a room at the Acorn Guest House . They are at 154 Chesterson Road , CB41DA . Their phone number is 01223353888 . Can I help you with anything else ?",is,number is 01223353888,1
4344,"Yes , I need the reference number .",,,0
4345,Booking was successful . Reference number is : UUJ3X14V .,,,0
4346,Thanks ! I am also looking for suggestions for night clubs .,looking,for night I for looking suggestions clubs,1
4347,"I have 6 night clubs in the city , 5 are in the centre and 1 is in the South ? Would you like info on any of them ?",are,clubs have are I night 5 6,1
4348,What is the entrance fee and the phone number for the one in the south ?,,,0
4349,"The Place is a nightclub in the south part of town . I 'm sorry , i do not have the entrance fee . Their phone number is 01223324600 . Is there anything else ?",is,number is 01223324600,1
4350,"No , that 's all I needed ! Thanks you 've been so helpful ! Bye !",,,0
4351,You are most welcome . Enjoy your visit !,,,0
4352,I am looking for a college to visit .,,,0
4353,"We have many colleges in Cambridge , most of which are in the center of town . Do you have a specific area in mind ?",,,0
4354,"I do n't have a preference , but could I have the entrance fee , postcode , and phone number please ?",,,0
4355,Clare college is located in the west with a postcode of cb21tl . The phone number is 01223333200 and the entrance fee is 2.50 pounds .,is,number is 01223333200,1
4356,Thank you . Can you help me in finding a hotel in the centre of town ?,,,0
4357,May I recommend the Alexander Bed & Breakfast Hotel located in the centre of town at 56 Saint Barnabas Road ?,,,0
4358,Does it have 0 stars ? I 'm wanting to make sure I book a room at a place with 0 stars .,,,0
4359,"No , the Alexander has a 4 star rating . There are two others located in the centre of town that have 0 stars . Would you like information for either of those ?",,,0
4360,"Could either of the ones with 0 stars accommodate 7 people for 4 nights , starting from Saturday ? If so , book it and please provide a reference number .",accommodate,accommodate Saturday nights people from 4 starting for,1
4361,"In order that I may better serve you , I will need the date you will need your accommodations .",,,0
4362,I just said I needed it on Saturday for 4 nights ? There will be 7 of us .,said,it needed Saturday nights I on I 4 said for,1
4363,I have you booked for four nights . Your reference number is ACLLASUS .,booked,four for booked I nights you,1
4364,"Great , I also need a taxi to take me between the two places .",,,0
4365,I 'd be happy to help you with a taxi . Which will you be departing from and what time are you looking to leave ?,,,0
4366,I will be departing from Clare college at 02:15 .,departing,at 02:15 departing I,1
4367,"Okay , I booked a taxi from Clare College to Alexander at 02:15 . The car will be a yellow Tesla , contact number is 07924405989 .",is,is 07924405989 number,1
4368,"Thanks , that 's all I need . Have a nice day .",Have,day a nice Have,1
4369,We are happy to help . Thank you for using our service . Have a great day !,,,0
4370,I 'd like for a taxi to take me to autumn house from travellers rest,,,0
4371,Sure thing ! What time do you want to leave ?,,,0
4372,"I want to arrive by 07:00 , what time I leave is okay .",,,0
4373,There 's a grey skoda that will be picking you up . You can contact the driver at 07605689057 .,contact,07605689057 at contact driver You,1
4374,"I wanted to visit a place called Center , could you tell me the hours it 's open , and if it is an attraction that I would need to book in advance ?",tell,you the hours tell,1
4375,"I 'm sorry , I do n't have a listing for an attraction by that name .",,,0
4376,ok . can you find me a nice hotel where i can spend over the weekend,find,spend weekend me hotel the find i over you,1
4377,"Perhaps you were interested in an attraction located in city CENTRE ? Theatre ? dancing ? dining ? museums ? If not , I can help with hotel booking too .",,,0
4378,"Yes , I am interested in one located in the city Centre . Can you list out several for me so I can choose from them ?",,,0
4379,There are 44 different attractions in the centre ranging from architecture to nightclubs . What type of entertainment are you interested in ?,,,0
4380,Please give me a list of nightclubs and the admission fee,,,0
4381,There are five nightclubs in the Centre . May I suggest Soul Tree Nightclub ? It cost four pounds for the entrance fee .,,,0
4382,Can you give me the post code for the Soul Tree Nightclub ?,,,0
4383,The postcode is cb23qf . Is there anything else I can help you with today ?,Is,you Is today help anything with I,1
4384,I would also like to book a table for a restaurant that serves British food and is expensive . I need this to be in the same area as the nightclub .,,,0
4385,I found 3 restaurants matching your request . The cambridge chop house is very popular . Would you like to book a table there ?,,,0
4386,yes can you please help me with that ?,,,0
4387,Yes when would you like to book ?,,,0
4388,I 'd like to book a table for 12:00 on Wednesday,like,like 12:00 book Wednesday for I table on,1
4389,"Ok , and for how many people ?",,,0
4390,I 'd like it for 7 people please . And could you also get me a taxi to go between the two ?,,,0
4391,i booked that for you . your reference number is 2tn0v6dq .,,,0
4392,Thank you . Can you also book me a taxi to go between the two ?,,,0
4393,"Sure . I 'll just need to know where you want to be picked up and where you want to be dropped off , plus either when you want to leave or arrive by",,,0
4394,adress and phone number please and thank you,,,0
4395,"Unfortunately , I do n't understand your message . To book your taxi , I need to know where you are starting and going to . I also need to know what time .",,,0
4396,"So sorry , I was distracted . I need to arrive at the restaurant in time for my booking , please .",,,0
4397,I can book that for you now .,,,0
4398,please do and give me car type and contact,,,0
4399,Booking completed ! Your car is a blue honda and the contact number is 07559573662 .,is,07559573662 car is number is,1
4400,Thank you so much . That 's all I need for today .,'s,That I today all for need 's,1
4401,You are welcome . It has been a pleasure assisting you today . Have a great day .,been,today It you been assisting pleasure,1
4402,"Hi , I 'm looking for a 4 - star hotel with free wifi .",,,0
4403,"Sure thing . I have two options for you , and they are both guesthouses . One in the east , and one in the north . Do you have a preference ?",,,0
4404,Are either of those two cheap ?,,,0
4405,"No I am sorry , they are both in the moderate price range . Would you like to book one of them ?",,,0
4406,Any one will do as long as it has a 4 - star rating with free wifi and is cheap .,,,0
4407,"There are no 4 - star places that are cheap and have free wifi . Perhaps something not as fancy , or in a higher price range ?",,,0
4408,I 'm not sure . I really needed those specifications .,,,0
4409,"I apologize , we have several options . The alexander bed and breakfast is a cheap four star guesthouse , in the north area , with wifi . Would you care to reserve a room ?",,,0
4410,"Yes , let 's book it for 3 nights from Wednesday . There will be 5 of us .",let,let it nights book 3 Wednesday for 's from,1
4411,"Okay , I 've made your reservation . The reference number is 525A3U0N . What else can I help you with today ?",help,today I with you help,1
4412,You 've taken care of everything . Thank you .,,,0
4413,Thank you have a good day .,Thank,have day you good Thank a,1
4414,i need a place to stay,,,0
4415,Okay ! What part of town would you like to stay in ?,,,0
4416,"I 'd prefer something in the North , a 4 star hotel with free wifi if possible .",,,0
4417,There are no 4 start hotels in the north with free wifi .,,,0
4418,"would you like to book something without free wifi , or in another area .",,,0
4419,There are no 4 star hotels in the north are with free internet . Is there anything else I can help you with ?,,,0
4420,What about a guesthouse with 4 stars in the north ?,,,0
4421,"Yes , I see several guesthouses available ! They are all in the moderate price range ; does parking matter to you ?",,,0
4422,The parking does not matter .,,,0
4423,"Yes , I would recommend Avalon . It is at 62 Gilbert Road , postcode cb43pd .",,,0
4424,Can you tell me the phone number ?,,,0
4425,"Sure , the phone number is 01223353071 .",is,number is 01223353071,1
4426,Can you also help me find an indian place to eat .,,,0
4427,Is there a certain area or price range you would like ?,,,0
4428,"I 'm sorry , I meant to ask for help finding something fun to do in town in the north side of town . I do n't need a restaurant after all .",,,0
4429,do you have a type in mind ?,,,0
4430,can I get a boat ?,,,0
4431,riverboat georgina is in the north . Would this work ?,,,0
4432,find me its entrance fee,,,0
4433,"Yes , I would have to give them a quick call . How many people and what day ?",,,0
4434,I 'm not ready to book it . I would just like to know the entrance fee .,,,0
4435,I 'm sorry . The entrance fee for the Riverboat Georgina is unknown . Would you like the phone number ?,,,0
4436,no thanks that will be all then,,,0
4437,I am glad that I can help . Have a nice stay .,,,0
4438,I need a place to stay that is cheap .,,,0
4439,Okay and what area will you be staying in ?,,,0
4440,"I need a place in the center of town , and I would prefer a hotel over a guesthouse .",,,0
4441,"I have three hotels in the centre , one is moderately priced and then there are two expensive ones . Would you like to book one of them ?",,,0
4442,I want to book one of the expensive ones .,,,0
4443,"The expensive ones are the Gonville Hotel and University Arms Hotel . Both offer free wifi and parking . The Gonville is 3 star rated , and the University Arms is 4 star .",,,0
4444,Great . Can I book the University Arms for 2 nights for 4 people starting Sunday please ? I 'll need a reference number .,book,4 for for starting book nights Arms people I 2 Sunday,1
4445,"OK , you 're all set . Reference # MEGFYQHA . Is there anything else I can help you with today ?",Is,I Is today help anything with you,1
4446,"Can you help me find a Hungarian restaurant , also in the centre of town ?",,,0
4447,"I 'm sorry , there are no Hungarian restaurants in the centre of town , would you like another location ?",,,0
4448,Is there and Indian restaurant available in that area ?,,,0
4449,There are 9 indian restaurants . Do you prefer cheap or expensive ?,,,0
4450,I would like expensive please.l,,,0
4451,There are several options in that area . How about Curry Garden ? I hear it 's great .,,,0
4452,Can you book a reservation for me ?,,,0
4453,"Absolutely , what day would you like reservations ?",,,0
4454,I would like to book it fro Sunday at 14:45 .,like,14:45 it like at book Sunday I,1
4455,How many people will be dining ?,,,0
4456,4 people will be dining .,,,0
4457,"Your table is booked , ref#9BZUL5GV . Is there anything else I can help you with today ?",Is,I you Is help today anything with,1
4458,I think that is all I need today . Thank you for all your help . Good Bye .,think,I think all today is I need that,1
4459,"Have a pleasant trip and , as always , we are here if you need us .",,,0
4460,I am looking for information in Cambridge looking for a restaurant in the north,,,0
4461,We have a range of options in the north . Do you have preferred cuisine or price range ?,,,0
4462,How about an expensive venetian place ?,,,0
4463,"I 'm sorry , I 'm not finding any results . Is there another location or price range you 'd like to try ?",,,0
4464,How about something that serves Asian Oriental food ?,,,0
4465,I do have one expensive asian oriental restaurant in the north . It is called Saigon City . Can I make you a reservation ?,,,0
4466,That sounds great . I will need a table for 5 .,,,0
4467,What day and time would you like this reservation for ?,,,0
4468,"16:30 on Thursday , please .",16:30,16:30 on Thursday,1
4469,"We booked you for Thursday at 16:30 , is their anything else I can assist you with ?",booked,you booked Thursday for We 16:30 at,1
4470,"Can you provide me with a reference number , please ?",,,0
4471,"Yes , your reference number is 80SX075C . Is there anything else I can help you with today ?",Is,today help anything with I you Is,1
4472,"I would like to take a train from stansted airport to cambridge , on Thursday , with arrival by 13:30 .",like,by like Thursday take arrival on with I train 13:30,1
4473,"TR9775 arrives by 12:52 , would you like more info or tickets ?",like,arrives like 12:52 TR9775 you info by,1
4474,Please give me the departure and travel time .,,,0
4475,It departs at 12:24 and the duration of the trip is 28 minutes .,departs,28 departs is It 12:24 duration minutes at,1
4476,Thank you ! That is all the information I need .,,,0
4477,"excellent , have a great day !",,,0
4478,What museums are there in the north area of town ?,,,0
4479,I 'm sorry . There are none .,,,0
4480,How about a swimming pool then ?,,,0
4481,"Kings Hedges Learner Pool is located at Jedburgh Court , Kings Hedges .",,,0
4482,Thank you . I just need the phone number and I 'm wondering how much the entrance fee is ?,,,0
4483,Yes of course their telephone number is 01223353248 and I do not unfortunately have information on their entrance cost at this time .,is,number is 01223353248,1
4484,"Thanks , that sounds great . Can you suggest a cheap restaurant near the pool ?",,,0
4485,There are 2 cheap options in the North by the pool . Royal Spice serves Indian and Da Vinci Pizzeria serves Italian . Do you have a preference ?,,,0
4486,I am actually looking for a restaurant that serves scottish food .,,,0
4487,I am sorry there are not any restaurants that serve Scottish food in the north area . Would you like to broaden your area ?,,,0
4488,How about Italian food ?,,,0
4489,"Yes , da vinci pizzeria is in the north and serves italian food and is in the cheap price range . Can I reserve a table for you ?",,,0
4490,Yes please . There will be 5 of us and we would like to eat on Thursday at 17:45 .,be,like 17:45 on be eat at we Thursday,1
4491,I am very sorry that time was not available at da vinci pizzeria . Would you like to try a different time / day ?,,,0
4492,How about 16:45 on Tuesday ? Can I have the reference number ?,16:45,on Tuesday about 16:45,1
4493,"I 'm sorry , that time is not available either . Would you like to try another one ?",,,0
4494,"15:45 , 18:45 , if not Is there another italian restaurant that I could get a table for 5 at etiher 16:45 or 17:45 ?",Is,5 restaurant table at 18:45 not get for 17:45 etiher 15:45 Is I 16:45,1
4495,"I am very sorry , our system was giving me an error , but I have managed to book your party of 5 at 16:45 on Tuesday . Your reference number is XRR7UTLU . Is there anything else I can help with ?",giving,16:45 giving I error party Tuesday at managed system on book,1
4496,Yes I will also need a taxi to commute between the two places .,,,0
4497,"I have a taxi that can take you from the Kings Hedges Pool to the restaurant , arriving there by your reservation time of 16:45 . Will that work for you ?",have,16:45 that arriving of you have I by taxi time take,1
4498,What is the contact number and what will be the car type ?,,,0
4499,"Contact number is 07516311076 , car type is a grey Ford .",is,is number is type 07516311076,1
4500,Thank you so much !,,,0
4501,Anything else I can do for you ?,,,0
4502,"No , that is all I need today . Thanks again ! Bye .",is,all today is need that I,1
4503,Okay enjoy your stay in Cambridge !,,,0
4504,I need a train that leaves for Ely on Friday .,need,need I train Friday leaves on that,1
4505,What time do you need to travel to Ely ?,,,0
4506,I need to arrive in Ely before 11:30 . I would be leaving from Cambridge .,,,0
4507,There are 3 trains that fit that criteria - is there a specific time you 'd like to leave ?,,,0
4508,"Yes , I would like to book a train that will arrive in Ely before 11:30 .",,,0
4509,TR8792 departs Cambridge at 9:50 and arrives in Ely at 10:07 . Would you like a ticket on that train ?,departs,9:50 departs 10:07 TR8792 arrives at at Cambridge,1
4510,I also need a place to stay on the north side of town that includes free parking .,,,0
4511,"We have several guesthouses , one hotel and one lodge that meet that criteria .",,,0
4512,Do any of them have 3 stars ?,,,0
4513,"Yes , the Hamilton Lodge has only three stars . It is a guesthouse in the north part of town . Would you like me to book you here ?",,,0
4514,"No , but I do need the address , postcode , and phone number .",,,0
4515,"Sure , The Hamilton Lodge is located at 156 Chesterton Road , cb41da . You can call at 01223365664 . Is there anything else I can help with ?",call,You call at 01223365664,1
4516,That is all I need . Thank you .,,,0
4517,TR8792 is the latest departing train on Friday . It departs at 9:50 and arrives in Ely at 10:07 . Do you want to depart earlier ?,departs,at arrives at departs It 9:50 10:07,1
4518,I did n't need a train . I have everything I needed now . Thank You for your help .,,,0
4519,No problem . Enjoy your stay in Cambridge !,,,0
4520,I 'm looking for a hotel called hamilton lodge .,,,0
4521,"Hamilton lodge is a guesthouse , on the north side of town , in the moderate price range and awarded 3 stars . Do you need more information ?",,,0
4522,"What 's the hotel type , postcode , and star of the hotel ?",,,0
4523,It is a moderately - priced guesthouse with 3 stars . The postcode is cb41da .,,,0
4524,Thank you ! ! Can you also recommend places to go around the centre . My wife is really into architecture .,,,0
4525,"Sure , I have many churches in the centre . Would you like more information about one ? Perhaps Holy Trinity ?",,,0
4526,Can I get the address of that ?,,,0
4527,Sure . Their address is market street with postcode cb23nz .,,,0
4528,"Thank you so much , that is all I needed .",,,0
4529,Thank you for using our system !,,,0
4530,"I need to place to eat , say , in the center of the town with some creative food .",,,0
4531,I do n't have any creative restaurants in that area . maybe another cuisine ?,,,0
4532,What about Italian food ?,,,0
4533,"We have many Italian restaurants ! If price is no issue , I recommend Caffe Uno .",,,0
4534,That is great . I need to make a booking for one .,,,0
4535,I can do that . What day and time would you like the booking ?,,,0
4536,book a table for 1 people at 11:15 on tuesday with reference number please and thank you,book,people 1 11:15 book at for tuesday table on,1
4537,Your reservation is booked . Your reference number is 4UROSY5A .,,,0
4538,Thanks for handling the restaurant booking . I also need a cheap place to stay near the restaurant .,,,0
4539,"If a guesthouse is okay , Alexander Bed and Breakfast is a 4 - star cheap hotel in the center part of town near the restaurant . Will that work ?",,,0
4540,That sounds great ! Can I get the phone number and postcode too ?,,,0
4541,The phone number is 01223525725 and the postcode is cb12de,is,number is 01223525725,1
4542,"Great , Thank you so much for all your help .",,,0
4543,You are most welcome . Is there anything else I can assist you with ?,,,0
4544,"No , that 's everything I needed . Thanks again ! Goodbye !",,,0
4545,Have a wonderful trip .,,,0
4546,can you recommend a good place to go in the centre ?,,,0
4547,Yes ! What type of attraction would you like to visit ?,,,0
4548,"Can you suggest one for me please . I need the postcode , entrance fee if any and phone number",,,0
4549,the fitzwilliam museum is a museum is free . Postcode : cb21rb . Phone : 01223332900 .,,,0
4550,Also looking for a 4 star hotel in the same area as the museum .,,,0
4551,"We have the University Arms , which is an expensive hotel , or the Alexander B&B , which is a charming , but inexpensive , guesthouse .",,,0
4552,Can you book a room there for 2 people and two nights ? I 'll need a reference number as well .,book,room 2 two for book people nights you,1
4553,What day will you be staying ?,,,0
4554,i will be staying for 5 days,staying,5 for staying i days,1
4555,"I 'm sorry ... are you staying with two people for two days , or alone for five days ? Which days would you like me to reserve ?",like,you days like Which,1
4556,Never mind the booking . I need a taxi .,,,0
4557,Okay what time do you need the taxi ?,,,0
4558,I want to leave the hotel by 20:00 .,want,I by leave hotel want 20:00,1
4559,What is your destination ?,,,0
4560,The Fitzwilliam Museum is my destination .,,,0
4561,"The taxi is all set , look for a grey toyota , they can be reached at 07596698267 if there are any issues . Any other questions ?",,,0
4562,Thank you that 's all I needed today .,Thank,today 's Thank needed that I you all,1
4563,you are welcome all the time,,,0
4564,"Great , that 's all I need ... thanks so much ! Have a great day !",,,0
4565,You 're welcome ! Have a great day !,,,0
4566,I 'm wanting information about museums in the centre of town .,,,0
4567,"There are 11 museums in the centre of town . A few are the regency gallery , the fitzwilliam museum , castle galleries , and primavera .",,,0
4568,The fitzwilliam sounds good . Could I get the phone number ?,,,0
4569,"Absolutely , the fitzwilliam museum 's phone number is 01223332900 . Is there anything else I can help you with today ?",Is,anything with I you Is help today,1
4570,I 'm also looking for a hotel that is cheap and includes free parking .,,,0
4571,I found the Cambridge Belfry . It is located in the west of town . Would you like me to book that for you ?,,,0
4572,"No , thanks . That will be all .",,,0
4573,Can I assist you with anything else today ?,assist,I today assist you,1
4574,"No , again , that is all , thank you .",,,0
4575,Have a great day !,,,0
4576,I 'm looking for a moderately priced guest house . Can you recommend one ?,,,0
4577,There are 15 options . Do you have a specific area you would like to stay in ? And are you interested in wifi and parking ?,,,0
4578,"I do n't care about wifi or parking . To be honest , I do n't care what area it is in , either . What would you pick ?",,,0
4579,I would go with the Acorn Guest House if I were choosing a moderately price guesthouse .,,,0
4580,Sounds nice . What is the address and postcode please ?,,,0
4581,"The address is 154 Chesterton Rd , the postal code is cb41da , is there anything else that I can assist with ?",,,0
4582,I 'm also looking for an attraction preferably on a boat in the west .,,,0
4583,"There are no boats in the west , can I try something else for you ?",,,0
4584,Hmm . What about museums ?,,,0
4585,"Cambridge and county folk museum is available , would you like that ?",,,0
4586,Sure . That sounds good . Can I get their address and postcode please ?,,,0
4587,Sure their address is 2 - 3 Castle Street and the postcode is cb30aq,,,0
4588,"Thanks ! I also need a taxi between both locations , please .",,,0
4589,Can you tell what time you want to be picked up and at which location ?,,,0
4590,I want to leave the hotel by 23:15 .,want,want I 23:15 leave by hotel,1
4591,Booking completed ! Your contact number is 07349924614 . The car type is a black ford . Can I help you with anything else ?,is,07349924614 number is,1
4592,"Wow that was fast thanks ! No , that is all I needed . Hope you have a wonderful day .",,,0
4593,Thank you for contacting Cambridge TownInfo centre . Goodbye !,,,0
4594,Can you recommend some places to go in the west side of town ?,,,0
4595,There are several attractions in the west side of town . Do you have a preference for the type of attraction ?,,,0
4596,Not really . What would you recommend ?,,,0
4597,The museum of classical archaeology has free admission and is in the west area . Is there anything else that I can help you with ?,,,0
4598,What is the postcode and address for the museum ?,,,0
4599,"The postcode for that is cb3ojg and the address is Girton College , Huntingdon Road . Can I help you anymore today ?",help,you today I help,1
4600,Can you help me find the Worth House hotel ?,,,0
4601,"Worth House is a guesthouse on the north side . It is in the cheap price range , but has four stars . Would you like me to book you a room ?",,,0
4602,"Yes , please , that would be perfect .",,,0
4603,"what day would you like , and how may days ?",like,may like day you days,1
4604,"I 'm sorry , but do n't book it . I just need the area and address .",,,0
4605,It is located in the north . The address is 152 chesterton road .,,,0
4606,Thanks for all your help !,,,0
4607,Happy to help . Have a pleasant day .,,,0
4608,I sure hope so . A friend recommended the Alexander Bed and Breakfast . What can you tell me about it ?,,,0
4609,It is a wonderful guesthouse located in the centre of town . It has a 4 star rating and offers both free parking and free internet . Would you like assistance booking ?,,,0
4610,That sounds like a great place ! What 's the address ?,,,0
4611,The address is 56 saint barnabas road .,,,0
4612,I will also need a train on Tuesday .,need,Tuesday I need on train,1
4613,There are several for Tuesday . Did you have a particular departure and arrival times ?,are,Tuesday are several for,1
4614,I need the train to depart from Leicester and arrive in Cambridge by 10:15 . I am open on departure time .,need,need 10:15 I train arrive by depart,1
4615,Can you book it for me and get a reference number ?,,,0
4616,I am wanting to go to the theatre . Are there any in the centre of town ?,,,0
4617,The adc theatre is located on Park Street . There are a few others as well .,,,0
4618,The adc theatre sounds perfect . Could I get the postcode and phone number please ?,,,0
4619,Absolutely - the ADC 's postcode is cb58as and their phone number is 01223300085 . Can I help with anything else today ?,help,today I help,1
4620,"I 'm also looking for a place to stay . I hate star ratings , so this place needs to have a star rating of 0 . It does n't need to include free internet .",,,0
4621,"There are 3 places to stay in Cambridge that have star ratings of 0 , but they all include internet . Would you prefer a cheap or moderately priced hotel / guesthouse ?",,,0
4622,"I do n't care about the price , but I would like a place in the centre of town with free parking .",,,0
4623,I have the perfect place for you . It 's called the El Shaddai guesthouse . It is on the cheap side and includes free parking and wifi . Can I interest you in it ?,,,0
4624,Is El Shaddai in the centre of town ?,,,0
4625,It sure is . Would you like me to reserve it for you ?,,,0
4626,Yes can you reserve for two nights beginning May 18th ?,reserve,reserve 18th nights you two May for beginning,1
4627,Absolutely . How many people do you need a booking for ?,,,0
4628,I need to book for three people .,,,0
4629,With the greeting customer wanted to get information about theatre and hotel in the center of the city with free parking and free wii fii and not bothered about price .,,,0
4630,I 'm so hungry ! Can you find me a really great modern european restaurant ? Money is no object !,,,0
4631,"Darrys cookhouse and wine shop looks good , would you like to book there ?",,,0
4632,"I am a little tight on money , do you know the price range ?",,,0
4633,It is the expensive price range .,,,0
4634,"That 's fine . I 'd like to know if it 's in the centre of town . If so , I need a table for Sunday .",need,Sunday for need I table,1
4635,"Yes , it 's in the centre of town . What time would you like to book the table for on Sunday ?",like,on book you Sunday table like time,1
4636,Can you book a table for 1 at 11:00 on sunday ?,book,you table at sunday 1 on book 11:00 for,1
4637,I have made those reservations your reference is XZOJ853X .,,,0
4638,Thank you so much ! I 'm also looking for parks to see . Can you help me with this ?,,,0
4639,Yes I have several . Where would you like it to be ?,,,0
4640,I am not particular but could I have an address for a popular one ?,,,0
4641,"Sure thing , the address is fen causeway",,,0
4642,You have been a great help . Thank you so much . Goodbye .,,,0
4643,Have a great day !,,,0
4644,Find me a train that leaves after 11:00 on Wednesday,Find,on that 11:00 train Find after Wednesday leaves,1
4645,"ok , and what is your destination ?",,,0
4646,I 'll be leaving cambridge with a destination of stevenage .,,,0
4647,The earliest train after that time is TR3844 . It departs at 11:21 and arrives in Stevenage at 12:10 . Would that work for you or would you like a later train ?,departs,at arrives departs at It 11:21 12:10,1
4648,Yes please . I need the travel time .,,,0
4649,"It is a 49 minute ride , it will cost 12.80 pounds . Would you like me to make reservations for you ?",cost,minute it 49 It cost ride pounds is,1
4650,"Not right now , thanks . I would like to go to a museum while I 'm in town , though .",,,0
4651,Were you looking for one in a particular area ?,,,0
4652,"No , any area is fine . Can you suggest one ?",,,0
4653,The Broughton House Gallery is a free museum located in the centre . Would you like more information about it ?,,,0
4654,I would like the address and phone number .,,,0
4655,Located at 98 king street . Number is 01223314960 .,is,Number is 01223314960,1
4656,Great thanks . That 's all I need .,,,0
4657,Do you need me to look up info about another place or attraction ? Anything ?,,,0
4658,"No , I think you 've answered all my questions . Thank you !",,,0
4659,No problem ! Have a great day .,,,0
4660,I want to find a place to stay that is a guesthouse and has free parking .,,,0
4661,There are 21 guesthouses with free parking . Are you looking for a particular price range or location ?,,,0
4662,I want at least 4 stars rating . Are any of them 4 starts ?,,,0
4663,There are 16 that have a 4 - star rating . Is there a particular price range you are looking for ?,,,0
4664,"No , just anywhere that has room for 5 people starting Sunday .",has,that starting room has Sunday,1
4665,I need to narrow the search . What area do you want to stay in ? Do you prefer moderate or cheap ?,,,0
4666,I prefer to stay in a moderate area .,,,0
4667,I have 9 guesthouse in the moderate range with free parking and 4 stars . The archway house is nice on the north side .,,,0
4668,Sounds good . Please book for 5 people and 3 nights starting from this sunday .,book,people this 5 3 from for starting sunday book nights,1
4669,Booking was unsuccessful . Want to try aylesbray lodge guest house ?,,,0
4670,Yes let 's try that one please .,,,0
4671,"OK that is all set , thank you !",,,0
4672,"Hi , I 'm looking for a 1 star place to stay with free wifi .",,,0
4673,"I 'm sorry there are no 1 star hotels with internet , would you like me to search on 2 stars , we have a few hotels available .",,,0
4674,"Alright . I wanted a 1 star , but I guess I can listen to the 2 star options .",,,0
4675,I have 2 on the north side that are in the moderate price range and 1 on the east side in the expensive range . Would you like to book one .,,,0
4676,Hmm . What do you what about 4 star hotels ?,,,0
